Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
5308,US-2017-168410,21/02/2017,26/02/2017,Standard Class,BV-11245,Benjamin Venier,Corporate,United States,Oceanside,New York,11572.0,East,TEC-PH-10002583,Technology,Phones,iOttie HLCRIO102 Car Mount,39.98
6902,US-2018-135013,24/07/2018,24/07/2018,Same Day,HR-14830,Harold Ryan,Corporate,United States,Huntington Beach,California,92646.0,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2399.96
9796,CA-2017-125920,21/05/2017,28/05/2017,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Chicago,Illinois,60610.0,Central,OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",3.798
4056,CA-2015-122931,29/09/2015,03/10/2015,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1801.632
2934,US-2017-169040,06/12/2017,12/12/2017,Standard Class,GT-14710,Greg Tran,Consumer,United States,Seattle,Washington,98105.0,West,TEC-PH-10002310,Technology,Phones,Plantronics Calisto P620-M USB Wireless Speakerphone System,156.792
8544,CA-2015-137575,06/08/2015,11/08/2015,Standard Class,TB-21625,Trudy Brown,Consumer,United States,New York City,New York,10035.0,East,TEC-AC-10004571,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,199.98
1220,US-2018-118087,09/09/2018,13/09/2018,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,1931.958
9370,CA-2018-113460,07/11/2018,09/11/2018,Second Class,KN-16390,Katherine Nockton,Corporate,United States,Clinton,Maryland,20735.0,East,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,272.97
8589,CA-2016-138492,15/05/2016,22/05/2016,Standard Class,FC-14335,Fred Chung,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,51.968
8502,CA-2016-102316,01/03/2016,03/03/2016,Second Class,DH-13075,Dave Hallsten,Corporate,United States,Los Angeles,California,90045.0,West,TEC-PH-10000376,Technology,Phones,Square Credit Card Reader,15.984
1791,CA-2015-102008,30/09/2015,04/10/2015,Standard Class,RA-19915,Russell Applegate,Consumer,United States,New York City,New York,10011.0,East,OFF-PA-10004092,Office Supplies,Paper,Tops Green Bar Computer Printout Paper,48.94
9446,CA-2016-168277,29/05/2016,03/06/2016,Standard Class,KB-16315,Karl Braun,Consumer,United States,Indianapolis,Indiana,46203.0,Central,OFF-LA-10004484,Office Supplies,Labels,Avery 476,12.39
8683,CA-2015-133634,05/11/2015,10/11/2015,Standard Class,SR-20740,Steven Roelle,Home Office,United States,Arlington,Virginia,22204.0,South,TEC-AC-10002550,Technology,Accessories,Maxell 4.7GB DVD-RW 3/Pack,47.79
2458,CA-2018-140949,17/03/2018,22/03/2018,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011.0,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,59.1
1173,CA-2015-158064,21/04/2015,25/04/2015,Standard Class,AA-10375,Allen Armold,Consumer,United States,Los Angeles,California,90008.0,West,OFF-BI-10002976,Office Supplies,Binders,ACCOHIDE Binder by Acco,16.52
